"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2469","@Dashboard - Verificar que al hacer click en View All re redireccione correctamente a la vista de Requerimientos","firefox","Sun Apr 13 20:18:18 UTC 2025","passed","Sun Apr 13 20:18:21 UTC 2025","","Dashboard","",""
"","3004","@login - Verificación de inicio de sesion con usuario existente","firefox","Sun Apr 13 20:18:07 UTC 2025","passed","Sun Apr 13 20:18:10 UTC 2025","","Login","",""
"","1649","@login - Verificación de inicio de sesion con usuario existente pero contraseña incorrecta","firefox","Sun Apr 13 20:18:12 UTC 2025","passed","Sun Apr 13 20:18:14 UTC 2025","","Login","",""
"","3125","@vendors - Verificación del flujo de Edición de un Proveedor","firefox","Sun Apr 13 20:18:30 UTC 2025","passed","Sun Apr 13 20:18:33 UTC 2025","","Vendors","",""
"","662","@vendors - Validar que la tabla contenga los encabezados correctos","chromium","Sun Apr 13 20:17:48 UTC 2025","passed","Sun Apr 13 20:17:48 UTC 2025","","Vendors","",""
"","1226","@vendors - Validar que la tabla de proveedores pueda ser filtrada por Website","chromium","Sun Apr 13 20:18:05 UTC 2025","passed","Sun Apr 13 20:18:07 UTC 2025","","Vendors","",""
"","1613","@login - Verificación de inicio de sesion con usuario inexistente/invalido","chromium","Sun Apr 13 20:17:36 UTC 2025","passed","Sun Apr 13 20:17:38 UTC 2025","","Login","",""
"","1359","@vendors - Validar que la tabla de proveedores pueda ser filtrada por Phone","chromium","Sun Apr 13 20:18:04 UTC 2025","passed","Sun Apr 13 20:18:05 UTC 2025","","Vendors","",""
"","1151","@vendors - Validar que la tabla de proveedores pueda ser filtrada por ID","chromium","Sun Apr 13 20:17:56 UTC 2025","passed","Sun Apr 13 20:17:57 UTC 2025","","Vendors","",""
"","1514","@vendors - Validar que la tabla de proveedores pueda ser filtrada por ID","firefox","Sun Apr 13 20:18:33 UTC 2025","passed","Sun Apr 13 20:18:35 UTC 2025","","Vendors","",""
"","1450","@login - Verificación de mensajes para valores requeridos (Password)","chromium","Sun Apr 13 20:17:41 UTC 2025","passed","Sun Apr 13 20:17:42 UTC 2025","","Login","",""
"","1329","@vendors - Validar que la tabla de proveedores pueda ser filtrada por Proveedor","chromium","Sun Apr 13 20:17:57 UTC 2025","passed","Sun Apr 13 20:17:58 UTC 2025","","Vendors","",""
"","932","@trip_users - Validar que la tabla contenga los encabezados correctos","firefox","Sun Apr 13 20:18:23 UTC 2025","passed","Sun Apr 13 20:18:24 UTC 2025","","Trip_users","",""
"","1423","@vendors - Validar que la tabla de proveedores pueda ser filtrada por Status","firefox","Sun Apr 13 20:18:38 UTC 2025","passed","Sun Apr 13 20:18:40 UTC 2025","","Vendors","",""
"","828","@Dashboard - La vista debe mostrar todas las métricas principales","firefox","Sun Apr 13 20:18:18 UTC 2025","passed","Sun Apr 13 20:18:18 UTC 2025","","Dashboard","",""
"","1785","@login - Verificación de mensajes para valores requeridos (Password)","firefox","Sun Apr 13 20:18:16 UTC 2025","passed","Sun Apr 13 20:18:18 UTC 2025","","Login","",""
"","1617","@vendors - Validar que la tabla de proveedores pueda ser filtrada por Website","firefox","Sun Apr 13 20:18:44 UTC 2025","passed","Sun Apr 13 20:18:46 UTC 2025","","Vendors","",""
"","1232","@trip_users - Validar que la tabla de usuarios de Viajes tenga al menos un usuario","firefox","Sun Apr 13 20:18:22 UTC 2025","passed","Sun Apr 13 20:18:23 UTC 2025","","Trip_users","",""
"","805","@Dashboard - Debe mostrar al menos una transacción en la tabla de transacciones","firefox","Sun Apr 13 20:18:21 UTC 2025","passed","Sun Apr 13 20:18:22 UTC 2025","","Dashboard","",""
"","1771","@vendors - Validar que la tabla de proveedores pueda ser filtrada por Dia de Creación","chromium","Sun Apr 13 20:17:58 UTC 2025","passed","Sun Apr 13 20:18:00 UTC 2025","","Vendors","",""
"","710","@trip_users - Validar que la tabla contenga los encabezados correctos","chromium","Sun Apr 13 20:17:47 UTC 2025","passed","Sun Apr 13 20:17:48 UTC 2025","","Trip_users","",""
"","626","@Dashboard - Debe mostrar al menos una transacción en la tabla de transacciones","chromium","Sun Apr 13 20:17:45 UTC 2025","passed","Sun Apr 13 20:17:46 UTC 2025","","Dashboard","",""
"","983","@vendors - Validar que la tabla de usuarios de Proveedores tenga al menos un registro","firefox","Sun Apr 13 20:18:29 UTC 2025","passed","Sun Apr 13 20:18:30 UTC 2025","","Vendors","",""
"","1409","@login - Verificación de mensajes para valores requeridos (Email)","chromium","Sun Apr 13 20:17:39 UTC 2025","passed","Sun Apr 13 20:17:41 UTC 2025","","Login","",""
"","2437","@Dashboard - Verificar que al hacer click en View All re redireccione correctamente a la vista de Requerimientos","chromium","Sun Apr 13 20:17:43 UTC 2025","passed","Sun Apr 13 20:17:45 UTC 2025","","Dashboard","",""
"","1389","@vendors - Validar que la tabla de proveedores pueda ser filtrada por Email","chromium","Sun Apr 13 20:18:03 UTC 2025","passed","Sun Apr 13 20:18:04 UTC 2025","","Vendors","",""
"","4107","@vendors - Verificación del flujo de Creación de un Proveedor nuevo","chromium","Sun Apr 13 20:17:48 UTC 2025","passed","Sun Apr 13 20:17:53 UTC 2025","","Vendors","",""
"","1659","@login - Verificación de mensajes para valores requeridos (Email)","firefox","Sun Apr 13 20:18:14 UTC 2025","passed","Sun Apr 13 20:18:16 UTC 2025","","Login","",""
"","1480","@login - Verificación de inicio de sesion con usuario existente pero contraseña incorrecta","chromium","Sun Apr 13 20:17:38 UTC 2025","passed","Sun Apr 13 20:17:39 UTC 2025","","Login","",""
"","1222","@vendors - Validar que la tabla de proveedores pueda ser filtrada por Status","chromium","Sun Apr 13 20:18:00 UTC 2025","passed","Sun Apr 13 20:18:01 UTC 2025","","Vendors","",""
"","666","@vendors - Validar que la tabla de usuarios de Proveedores tenga al menos un registro","chromium","Sun Apr 13 20:17:53 UTC 2025","passed","Sun Apr 13 20:17:53 UTC 2025","","Vendors","",""
"","2141","@login - Verificación de inicio de sesion con usuario existente","chromium","Sun Apr 13 20:17:31 UTC 2025","passed","Sun Apr 13 20:17:33 UTC 2025","","Login","",""
"","1697","@login - Verificación de inicio de sesion con usuario inexistente/invalido","firefox","Sun Apr 13 20:18:11 UTC 2025","passed","Sun Apr 13 20:18:12 UTC 2025","","Login","",""
"","1416","@vendors - Validar que la tabla de proveedores pueda ser filtrada por Phone","firefox","Sun Apr 13 20:18:43 UTC 2025","passed","Sun Apr 13 20:18:44 UTC 2025","","Vendors","",""
"","1405","@vendors - Validar que la tabla de proveedores pueda ser filtrada por Proveedor","firefox","Sun Apr 13 20:18:35 UTC 2025","passed","Sun Apr 13 20:18:36 UTC 2025","","Vendors","",""
"","1213","@trip_users - Validar que la tabla de usuarios de Viajes tenga al menos un usuario","chromium","Sun Apr 13 20:17:46 UTC 2025","passed","Sun Apr 13 20:17:47 UTC 2025","","Trip_users","",""
"","1504","@vendors - Validar que la tabla de proveedores pueda ser filtrada por Location","chromium","Sun Apr 13 20:18:01 UTC 2025","passed","Sun Apr 13 20:18:03 UTC 2025","","Vendors","",""
"","1804","@vendors - Validar que la tabla de proveedores pueda ser filtrada por Dia de Creación","firefox","Sun Apr 13 20:18:36 UTC 2025","passed","Sun Apr 13 20:18:38 UTC 2025","","Vendors","",""
"","2354","@vendors - Verificación del flujo de Edición de un Proveedor","chromium","Sun Apr 13 20:17:53 UTC 2025","passed","Sun Apr 13 20:17:56 UTC 2025","","Vendors","",""
"","1535","@vendors - Validar que la tabla de proveedores pueda ser filtrada por Location","firefox","Sun Apr 13 20:18:40 UTC 2025","passed","Sun Apr 13 20:18:41 UTC 2025","","Vendors","",""
"","615","@Dashboard - La vista debe mostrar todas las métricas principales","chromium","Sun Apr 13 20:17:42 UTC 2025","passed","Sun Apr 13 20:17:43 UTC 2025","","Dashboard","",""
"","4564","@vendors - Verificación del flujo de Creación de un Proveedor nuevo","firefox","Sun Apr 13 20:18:25 UTC 2025","passed","Sun Apr 13 20:18:29 UTC 2025","","Vendors","",""
"","943","@vendors - Validar que la tabla contenga los encabezados correctos","firefox","Sun Apr 13 20:18:24 UTC 2025","passed","Sun Apr 13 20:18:25 UTC 2025","","Vendors","",""
"","1479","@vendors - Validar que la tabla de proveedores pueda ser filtrada por Email","firefox","Sun Apr 13 20:18:41 UTC 2025","passed","Sun Apr 13 20:18:43 UTC 2025","","Vendors","",""
